puma,group_pop,rent,household_income,on_foodstamps_yes,has_broadband_yes,family_size,num_children,sex_male,age,race_american_indian,race_asian_and_pacific_islander,race_black,race_hispanic,race_other,race_white,birthplace_us,years_in_usa,language_english,language_hindi,language_other,language_spanish,language_unknown,education_hs_graduate,education_some_college,education_bachelors_degree,education_post_graduate_degree,education_unknown,employment_not_in_labor_force,employment_unemployed,health_insurance_public,health_insurance_private,personal_income,on_welfare_yes,poverty_threshold_below,work_transport_other,work_transport_private_vehicle,work_transport_public_transit,work_transport_walking,work_transport_worked_from_home
3701,110066,919.5977360043919,106840.84016508724,0.24738003475012538,0.8915270795197887,3.002301301696619,0.468102170997072,0.468139183178772,40.46029585858254,0.006088326456413621,0.03843331706763395,0.16723985553287307,0.27225076709724766,0.0068532519259530454,0.4650905070608826,0.6577001662000309,9.395762804282159,0.4119942337737034,0.0045648007469431835,0.10417476512252188,0.4041096549742498,0.07164602157155296,0.17010608400509908,0.18365989654623288,0.13986709036974565,0.1557221109819666,0.04536699623392059,0.5035766513515333,0.034766912167991014,0.3468406036086359,0.5930388505772441,43704.11148436495,0.2029321022892161,0.23073527821480924,0.5579642308782113,0.1413343603053402,0.24722042801539673,0.031136683621813193,0.020000717873408257
3702,151071,671.0668945667898,82063.0797347428,0.30197806618744666,0.8240483127002792,3.6418361697742516,0.5650161762581665,0.44875639512937077,37.523204510296445,0.0072998244043178135,0.01224413950715115,0.7385937965414912,0.11329315082818602,0.014141396491524582,0.09130343296809917,0.5653065925243017,11.242019852242997,0.6746545740910828,0.004101199605759211,0.06645093127694966,0.19400061588452586,0.06802104105271747,0.23488792080387907,0.2298085982467526,0.1040104463707849,0.04470791373364675,0.04247480316526563,0.5069090878855887,0.0471411947989246,0.3494210081849067,0.5747825750443101,29040.669890988513,0.2270914807890427,0.1929522304939887,0.57489711127232,0.19339222764235753,0.21124565938631176,0.013323280283902868,0.006911785299789331
3703,119561,536.130975810211,89334.29686409792,0.16598485435319973,0.8657984110828142,2.933297584524209,0.4517760975803407,0.4657182616120822,42.5702828192357,0.0046935777044446415,0.01978439535887657,0.347415559855364,0.183147202169404,0.0076951807429152695,0.3967875450112345,0.7810813306247941,9.064081241111419,0.5907844113276012,0.004722902917955902,0.08172911754374193,0.27172511714199016,0.049564537015384776,0.24099390538546678,0.2571252741814696,0.11565240836761916,0.07049536934837346,0.027513651495486905,0.513709821942255,0.03642618356301858,0.26196287621640485,0.6794993787246368,36356.54548838764,0.16779327984897724,0.1640891526768349,0.5664524757834161,0.21485495830318654,0.19309087920759427,0.015679461756784197,0.010559654445214565
3704,126716,783.6126576073875,78297.02892342386,0.2497724407069823,0.8122053234236433,3.3569690240342185,0.55469144531292,0.47621813380439926,38.57966680920004,0.007791031936961928,0.07967233195461838,0.26331280071057145,0.28864580301621634,0.006411912401994057,0.30560164758164454,0.6191240734151106,10.323215357929643,0.40460433135704754,0.02523522674218218,0.14666938055640966,0.35296719253703185,0.06489945277905644,0.2228250090150394,0.22763158612297552,0.11012574860672909,0.05292492997001231,0.03892865097551315,0.5095169636052553,0.04258343061850101,0.36316037163750103,0.5590561780540233,30557.382927520353,0.20470337990164003,0.19383049802871266,0.5641337108116754,0.16252098549311178,0.23264571738883552,0.025853012734724495,0.013089739185495866
3705,171068,874.2829376093003,46446.16090420417,0.5343039845120097,0.8726465756764165,3.474981633579069,0.5791916902799813,0.46052952773470146,32.71646378137671,0.00723130575950063,-0.002892960881331031,0.43259041781949875,0.4106044937221281,0.0013346589459216675,0.11434894911169369,0.6641709325992513,8.72332151187726,0.3234928806591551,4.154966197641877e-4,0.07557730576019722,0.5171906282278275,0.08916156271209669,0.20916758554298814,0.20524341550523806,0.04880626391633778,0.007283168671276684,0.05372245589377561,0.5843955582823422,0.05487797714481815,0.5762672741760427,0.33557483572136754,21030.678442272958,0.30045066335383,0.4088062394184711,0.659166961133796,0.076709397705241,0.22803976321354946,0.02611474765416951,0.009923991996216151
3706,131988,1084.3371605181069,48642.184734801645,0.49453572805095747,0.8178466925993648,3.697237774046248,0.5994833332828984,0.48243175444587233,33.86841371220383,0.007068713919562346,0.0408565072742008,0.2196683454698607,0.5310250313256318,0.007753706836210274,0.1506655708536899,0.5231640940108555,10.081622275474345,0.1869019712946468,0.02484468211556064,0.0668765971814114,0.6438722195225355,0.08344401077647226,0.2286078396708562,0.1874391294639811,0.06127061216899013,0.01694764257082765,0.049264344225254796,0.5057235544194388,0.05844506367771046,0.5479748407325273,0.33966565494237544,22206.713697125564,0.25874667861436235,0.33740538590051833,0.5807203595423793,0.07570379390743655,0.29035571213875466,0.03612597528653666,0.014797667855218436
3707,139482,988.5656391444928,38127.91172287905,0.5685712120899356,0.8216180785031032,3.547314608707282,0.5943324309924977,0.4662343816263706,32.25667194224341,0.0053661552827160095,-0.0038430656811910434,0.402105477638687,0.5020382768335345,0.006830917235958066,0.06250652599739338,0.5372790254370476,9.595408065975896,0.22600096431485278,0.005161639461729471,0.0678510272481479,0.6237451650582303,0.08696859957366554,0.20948356155954173,0.19704129428914585,0.04596290671126367,0.0014777004801144848,0.053338778495769505,0.5609078148848344,0.058516966996207134,0.6262280676272692,0.2727620824684666,19510.588369766814,0.2922949150531438,0.39936261065725004,0.6334997446444521,0.06987891422267464,0.260522739851415,0.020321314457692283,0.014808521287386694
3708,141083,976.9914235018502,43641.11720833638,0.5005046906038279,0.8480881174133783,3.5476295393439043,0.5841967287720812,0.46287970738059375,34.06661842707154,0.00784849957524012,0.0011503584116791372,0.4129627631778065,0.452712847823648,0.006729726046124856,0.08355774760876235,0.5398164803657136,9.913207650299778,0.24586893582379074,0.005953278517230815,0.0858693009361675,0.6017619651477563,0.0671532832489264,0.208469152579285,0.20532656328747081,0.061412602855837654,0.009510027356270307,0.03754962414107037,0.5575329357332028,0.04779347539227983,0.5945680263810837,0.2996089152428847,20913.510336374362,0.2684987873688616,0.3759181707532516,0.6170537208902732,0.06072490347315464,0.2799579547719532,0.03173902490244994,0.009667042386198369
3709,185429,855.043974055939,62822.40400414673,0.3803803693949594,0.8757825636619018,3.5045531490801602,0.5635589264320602,0.47369808032260197,36.00445756386939,0.007747990799478333,0.07499810782405167,0.3530772462133493,0.336815544304934,0.00932292255410122,0.17505669907492805,0.6475041776666492,9.867717376005295,0.35721097960577736,0.05117272411453317,0.05869375089135028,0.4598839951339163,0.07244698851116851,0.2183654819551771,0.2198121270206699,0.07689363099790608,0.02912526316449973,0.04169446412605983,0.548088329188301,0.04237939439271421,0.44324938238020806,0.47336341414856364,26722.122068469158,0.24198859584016152,0.2839275795834991,0.604285530979322,0.12257657282665169,0.24103680791535076,0.023972964255411778,0.008006424170945386
3710,156510,786.187855272444,46683.05000969815,0.526365133953549,0.8715932457134471,3.4556863035211935,0.5361770696529765,0.49928182645534347,32.92573589640218,0.008257763690787708,-0.008470872519109388,0.37702320158479674,0.4633341150195514,0.003135943341078232,0.11828798527527236,0.6939346248819013,9.016917575428034,0.3218742372398975,2.661395406667311e-4,0.05109315300969878,0.5553259613220068,0.07693390716046769,0.21979216189225861,0.18680794591673802,0.04683571087838836,0.005285868028883698,0.04693407637527273,0.6116808936072381,0.050185586701223354,0.6179801442723152,0.261219297518027,19698.78556587651,0.2821367183495058,0.4523381481786935,0.6764019323088191,0.05884257882525045,0.23209662191179486,0.025914643502491615,0.00597665042713719
